Review,Generated
Its been quite a while but I remember the experience was quite lovely Best thing about it was the mulled wine a huge plus for the FallWinter time Came with a group of four and we all had pleasant experiences I had the fried chicken herewhich was amazeballs The restaurant is kind of small not unlike other restaurants in this area though but make reservations and you should be good,1
Food Fresh delicious amazing even the occasional cold pizza delivery in the winter is worth it Love the da kine and a romaine salad with candied walnuts Atmosphere Warm inviting large tables Service Servers really know the food Phone people and delivery guys are always really nice Never a bad experience Sometimes its a crazy wait even for one person but its to be expected somewhere so delicious Thanks Robertas,1
Best meal ive had in a long time Creative dishes items you dont see everyday Scallops were cooked to perfection,1
the burger is much better than the fried chicken there however i liked the apps and would deff go back again to try other things on the menu the look of the place was very simple kind of loud inside but they played great music while i was eating 80s the food was tasty and the service was quick i will be back,1
Some of the best Italian food in Queens Its right near JFK so I frequent this to and from the airport Definitely worth a visit if youre in the area Try the baked clams everyone raves about them Theres no reservations so make sure you have some extra time to kill,1
the food here is really good mr fishy loved the halibut and the pig face with fried egg was darn good too didnt love the dessert the deconstructed smores was basically a just ok brownie sundae but overall a great meal im coming back,1
NOM NOM NOM There is no better way for this yelper to celebrate her birthday than a 5 star meal in one of nycs hottest speakeasy restaurant This was right up my alley We were able to get a table for two on the same day but we had to chose either 615 or 930pm The place is pretty small so I recommend making reservations at least a day in advance to get a reasonable time Like others may have said its helpful to note the actual entrance is on the side corner through the courtyard on Morton St not on actual Hudson like the address suggests When I got there I had a drink at the bar which only has about 7 seats but they fill up quickly around happy hour time it was a mix of local having an after work drink and some eating at the bar Had the hudson mule which was good refreshing and the candied ginger was a nice touch My only complaint is that when the ice started melting it got kind of watery My friend had the Calacas and it was great a little spice a good strong drink to be sipped slowly and enjoyed just how I like it My friend and I shared 4 plates so I got a good feel for the menu and everything was on point To start they brought out a little sample from the chef of quinoa in a yogurt sauce with cucumber and nuts and it was phenomenal I highly suggest they put it on the menu great for summer time Then we had the gnocchi with clams and this was great as well probably my favorite thing of the night the clams are already preshucked so you dont have to deal with the shells but it comes with this rich delicious broth and they only give you two crostinis so we had to ask for more Next we had the pork belly appetizer which was as big and as filling as an entree minus the price tag of an entree My favorite part about the pork belly was the polenta mash that was under it it wasnt your typical yellow flavorless polenta it was delicious Next was the duck and brussel sprouts side dish the only thing I would not get again was the brussel sprouts but maybe it was just a matter of preference The brussel sprouts were very finely chopped up with sundried tomatoes and in some light sauce that I found to be pretty flavorless and it made me feel like it was frozen brussel sprouts with the residual water after heating But again like I said my friend loved so I think I just prefer the more oven toasted crispy whole brussel sprout The duck was good one of the best ducks Ive had far better than macao trading co and the skin was lightly toasted I just wish the skin a tad crispier For desert we had the chocolate ganache which was very light which was ok with me because by this point I was stuffed it was like 5 little pieces of rich fudge with fresh raspberries which hit the spot The service was good attentive and the waitress was helpful in suggesting things Side note the staff was all very good looking kinda hipster The only weird thing is we didnt have one consistent waiter but instead like 6 different people that came to our table Would definitely come back especially in the summer time to eat in the courtyard Food was great and not too expensive by NYC standards Great place to wow a date or take an out of towner Best hidden gem in the city,1
I love this place The shabu shabu with the prime eye beef is very good but what really made this place memorable for me was the bibimbap I was at first skeptical about trying a bibimbap at a Japanese placeafter all bibimbap is a Korean dish and I thought the place was merely trying to make its menu more eclectic by adding this dish  I was very surprised to see how GOOD it was It was possibly the best bibimbap I have ever tasted even better than the bibimbaps I have had at any Korean restaurants I dont know what their magic ingredient is perhaps there is something with the sauce perhaps they use better vegetables or the beef is marinated better Whatever it was the bibimbap was unforgettable all the more reason to love this great restaurant,1
Best in the city I would eat here everyday if I could Great specials and you must try the kale and potato taco,1
Jose Garces does it again And this time pretty distant from his usual fare The king of Latin America is now the burger king Definitively the best burger in town Perfectly packed cooked precisely to order and affordable too The baconfoie gras burger is sure to impress but not necessarily with a 24 price tag and the regular burger being so delicious It has a great atmosphere and amazing alfresco seating too Lovely bar with one of the best whiskey lists in town Duck fries with cheddar sauce by the way are delicious This is on the very high end of fourstars but this burger just cant be beaten in town,1
Beautiful  elegantly done up in a modern theme this restaurant is a lovely experience for couples friends or the entire family The portions are decent the menu diverse and the service was excellent If youre in the city swing by,1
Gloriously crisp delicious double fried potatoes shared with 3 friends at midnight And a garlic rosemary aioli Life doesnt get much better than that,1
I got one last April and like it so well I bought another Might even get another,1
Terrific hearty Italian food in an awesome atmosphere,0
If you dont try the gravy fries at Nectars they dont let you graduate from the University of Vermont True story Ok not really But it should be The gravy fries at Nectars are so incredibly delicious My recommendation get drunk early in the day eat gravy fries Repeat,1
Come here for the Xiao Long Bao Soup Dumplings There is almost always a line to get in here You may have to share a table with another family They offer crab meat pork meat and crabpork meat dumplings I enjoy the pork meat ones a bit more Two orders of soup dumplings was enough for the four of us Each order comes with about eight I have ordered some of their other dishes in the past and was unimpressed by them Therefore I come here primarily for one thing The soup dumplings make a nice meal but they also serve as a wonderful appetizer We usually come here for appetizers then go to another restaurant around Chinatown for a full blown meal Note Cash Only,1
This place is great always packed with people always the same They have great nachosthe best around,1
I used to love the Raspberry Habernero wings but now they taste differnet im very dissapointed i dont know why this is There are very few good people in the waitstaff and sometimes ive heard yelling from the kitchen Sounds like the chef or manager back there needs a visit from the dept of labor Get a pizza they are fantastic and ask for Will to be your server,0
Went againstill love it as much as the first time and every time after,0
This is the worst food that I have ever eaten Not the worst Chinese food The worst food The buttered roll and cold coffee that they gave me in the Mineola NY jail in 1985 was better than this Once on a dare I bought and ate a chicken salad sandwich from a oneeyed ninety year old Mayan woman on a hot second class bus between Cancun and Merida Mexico In JulyThat sandwich was better than this beef chow fun Pure poison,1
Joes shanghai is soup dumpling heaven Everything else on the menu is not really worth mentioning but the dumplings make up for it You should get the pork soup dumplings and maybe a noodle dish if you need a side of some sort Ive gotten the pork and crab soup dumplings a few times but the classic pork is where its at When the dumplings comes out dont pop it all in your mouth like a fool The soup will burst out and burn your mouth Bite a tiny bit of the wrapping on the top to let the steam out and let it cool down first before eating the rest,1
I went in to try this place out I wasnt sure what to expect First the decor and atmosphere was really cool I felt very comfortable I sat at the Bar to eat only to be greeted by this Beautful redhead it was very hard to keep my eyes off of her She turned out to not only be my server but she was also the Bartender The service was great as was the conversation She seemed to really know alot about all of the different wines and creative drinks All I tried were fantastic Then came the food It was very good I tried some of the different BruschettasWOW Also some of the meats and cheeses againWOW All of the staff was very friendly alert and well knowledged about the food and drinks I highly recomend this place if not for the food You should at least go have a drink and check out that Bartender winkwink,0
My Korean food experience chiefly consists of places in Manhattan so perhaps I am missing out on some great places but BCD is my favorite spot on 32nd St for sure Of course the tofu soup is what you must get and its great,1
I must say I havent had ribs like this in a long long time The meat just freakin falls right off the bone clean and absolutely yummy The atmosphere was nice and intimate  good live jazz playing by the bar It was a bit of a wait but we were able to snatch a bar table and have a few drinks before getting seated The waiter was really friendly and accommodating especially since my friend was starving and giving the guy a hard time Im looking forward to going back and trying the rest of the menu,1
I travel to Italy a lot and am a confirmed pizzasnob but after hearing about this place had high expectations Every bit as good as the pizza I have enjoyed in Napoli It was well worth the short detour off of I95 even worth a long detour,1
Booked Parc restaurant bc of reading reviews on Yelp Good restaurant with tasty food and drink We had the smoked trout rillettes loads of flavor on crispy croutons and soft shell crabs with summer succotash sauce spicier and a bit salty but good and we would order it again I had the onion soup but couldnt finish it because with all the cheese on top it got really heavy and filling Sat at the tables out on the street and people watched It was great time great view across from the park We would go back again,1
I took over 20 people here tonight for my dinner group and the food went beyond our expectation delicious is all I heard from all members and it is not easy to please all these mouths at once My wife and mother joined the dinner so I was able to taste all 3 apps and entrees offered us Everything we had was fantastic I live close by and will definitely be back The restaurant is brand new and has a full bar and really great bar atmosphere Will be back for sure,1
I love this place Great atmosphere very service minded staff great location and killer breakfast We liked it so much that we came back for breakfast 2 days later to eat more of the lovely food The best eggs benedict I have tried and the avocado toast was awesome as well Highly recommended from me,0
Terrible customer service and food I thought I would give this place a second chance and glad I did not After waiting on the phone and having multiple calls taken during my conversation with the employee I eventually hung up I was called 40 minutes later and they wanted my credit card number I kept asking who they were and they wouldnt respond  super sketch The guy called back and lectured me and I was done with this experience I wont order pizza from this place ever again One star is way too much for this place,1
Very good ramen,1
Cheap martinis before 10pm AND they serve Yuengling One of the larger and more open LES bars and their lychee and verlaine pear martinis are great You can actually sit down and talk to your friends and hear them if you go before midnight,1
One thing I admire about New York is how the city embraces street food as integral to its culinary landscape as its abundant highly decorated Michelinrated restaurants  And among the gajillion carts spread across almost every corner the legendary Halal cart on 53rd and 6th appears to be the undisputed peoples champion  armed with its own website and over 2000 yelp reviews with a solid 45 rating Youre probably more likely to see Paris Hilton win an Oscar than see this popular cart without a line that spans at least half the block Their slogan is We are different Indeed The line was so long you would have thought Victoria Secret models were giving free blowdryers Thanks to yelp advice I steered clear of impostors from several other corners wearing the same color shirts and made my way to the SE Corner of 53rd and 6th Yes the food was worth the wait and the wait wasnt even that long Cheap and good The lamb plate was pretty fantastic Though my yellow rice was a bit of a grease fest its still cart food after all it was still very good The lamb was nice and tender as well but the star of the show was that delicious highly palatable white sauce Mix it up with the huge pile of yellow rice meat and warm pita ready and boomGOT HEEM If youre into hot the hot sauce was hotter than hades armpit Overall best 6 Ive spent in New York Dont worry about the oftrepeated tourist trap moniker Most locals Ive met rave about this cart including my colleagues who took me here for lunch satisfaction guaranteed Anyway for 6 you can afford to take that chance,1
Being allergic to both peanuts and shellfish vietnamese food is a minefield but what I can eat i LOVE This place seems very authentic The food is spicy and delicious I ordered bbq pork summer rolls split curry duck soup with my mom and lemongrass curry and coconut milk chicken Everything I ate was delicious Although they catered to my allergies the service wasnt exactly friendly,1
Extremely disappointing insulting from our initial seating when we were asked to squeeze through a tiny 7 inch gap between two tableswe are not small Even though we were seated in tables that close my wife and I had to lean over the food to try to hear each other talk over the din of hi volume music  Then it turns out that the All Day Menu is deceptively labeled being polite We were not allowed to see the All Day menu The flapjacks on the other menu were also falsely advertised as including special maple syrup they must have forgotten a few words like maple FLAVORED CORN syrup It was NOT maple syrup it was the corn syrup already on alllll tables The waitresss response was oh well thats all we have    The food was bland and warm not hot delivered after a 35 minute wait The Breakfast Burrito was advertised as having applewoodsmoked bacon  unfortunately we only got the smoke no bacon  The final travesty was yet another disappointing conversation with the waitress to explain that we were incorrectly billed at THREE TIMES the correct amount She did correct the bill A perfectly tortuous ending to a very tortuous experience A 1 rating is probably too high,0
Halal guys is good for what it is  street food But in my opinion it is a bit overrated It really isnt that much better than other halal food stands,0
I love this place The Cippolini pizza is amazing The staff was extra friendly and the location is just perfect for bikers runners etc on kelly drive If the weather is nice make sure you get a seat outside to enjoy the sun and view of the river,1
Loved everything about the Meatball Shop except for the 90 minute wait The food was DELICIOUS the atmosphere was fun and the ice cream sandwiches for dessert are an absolute must Cant wait to go back its definitely worth the wait,1
After reading all these positive reviews we came here expecting a 5 star meal Unfortunately that was not the case Some of the food was good but nothing spectacular This is a Brooklyn place trying to be a Manhattan eatery meanwhile theyre a hole in the wall with terrible service The waitress that served us acted as if she was doing us a favor the entire time and when I asked for suggestions on the menu she was of zero help Her attitude was nasty from the start we remained cordial because I didnt want anything to be done to our food Just as an FYI my husband and I dine all over the city at the best restaurants Also they have this loud rock music on the entire time you eat and the portions are ridiculously small There were a few of us our bill was close to 500 w tip she charged us a 20 tip automatically Id say we had about 1517 small plate orders to share The pork ribs were meh Ive had better a local Chinese restaurant The prawns were my favorite actually very good The foigra was good as well but very over salted and had an egg on it which made no sense The rib sliders were just OK fries were good salt and pepper shrimp  meh The burratta salad was the size of a finger portion The scallops were tasty mussels were OK Its a personal choice I didnt like the foigra broth,1
could be better,0
I love ordering from this place not once I have had any issues with delivery or the staff When I choose to pick up the pizza staff are always friendly When delivered its about 30 minutes which to me is not a problem I have tried a few places around town and Queen by far is the BEST pizza I have tasted This place is where you want to go for really good affordable pizza It is cheesy toppings are good not GREASY unlike many places I have tried the crust is not BURNT is nice and doughy and has a perfect crisp I ordered from this place at least 34 times a month and my kids love it  they leave NO pizza behind lol which is actually a compliment to QUEENS Unlike many times before they seem to get full just off the grease from other pizzas ordered from other places I am a very satisfied customer D PS Thank you queen pizza Im glad I found you ,0
Another lovely gem that bf and I accidentally stumbled upon After getting rejected by Melody Lanes AND Gentleman Farmer right next door I was ready in call it a night but we walked right past Jadis where the cute cozy space invited us in The menu is small a few salads a few small plates some paninis some appetizers We didnt know where to start to we ordered a meat platter with country pate serrano ham smoked beef fillet and duck rilletes The meat platter came with spicy mustard cornichons a small salad and BINGO a heaping side of bread large enough to feed a few small children Mmmm bread We ordered a small plate of brie goat cheese and a couple glasses of red wine to go with the meat OMG The meat was SOOOOOOOO damn good and everything we ordered went perfectly with the brie goat cheese A match made in heaven I mean how many times does a girl get to say and really mean that shes had some damn good meat Jadis definitely made it on to my crave list The most memorable was probably the duck rillette and smoked beef The platter portion was perfect for two  BF and I downed the bread of course I swear we ate a whole loaf each but whatever Im not really thinking about carbcalorie intake when scarfing down heapfuls of duck rillette which is duck meat cooked in duck fat and mashed in duck fat Like I said it was so good I didnt give a crap I happily washed down all my meat with a generous pour of pinot noir Oh yes another thing at Jadis they pour you a nice full glass of wine like less than an inch from the top of your glass More bang for your buck I must say Im dying to go back to try the duck liver mousse garlic sausage and venison terrine I really cant wait Ill dream about meat for the rest of the week and not just any kind of meat meat from Jadis,1
I like this location a lot better than the Flatiron location The flatiron location is only 3 stars The food at this location is better quality The quail egg and chorizo on toast is phenomenal here Also the foie gras which I dont believe is actually on the menu is my favorite Patatas Bravas is standard The bacon wrapped dates are better at other places however There sangria is pretty yummy as well,1
I would say its pretty ok I ordered a paneer roll but it was cold and not at all tastey Its expensive as that roll is not worth even 5 dollar,0
the ambiance here is great warmly lit with high ceilings We started with a soft pretzel presumably because it a house specialty and it was very good but its just a big pretzel I ordered a jagerschnitzel with a side of gurkensalat and Kartoffelknodel My girlfriend ordered the Rouladen with sides of Gemuse der Saison and salat The food was outstanding and Im definitely looking forward to going back and sampling more from the menu,1
So this place wasnt particularly great I went there for a friends birthday and it was the only place I could find on a Friday night that could seat 7 on short notice So I wasnt expecting anything spectacular Their food isnt particularly memorableso not bad but not great Theyre a little stingy with the bread,1
Walking into Cucina Forte about fifteen minutes early for my girls night it seemed evident that we were going to have excellent service How did I come to this conclusion I was the only person in the entire restaurant A few minutes later my friends arrived and we were asked to choose our table For the remainder of the evening we dined in privacy well sort of Everything we talked about was heard loudandclear by our server considering she was the only other person in the room Still that didnt stop our conversation from heading straight towards the gutter once a couple glasses of wine were consumed I dont think she minded considering she chimed in at various points and we discovered a shared interest in Bret Michaels Rock of Love As we were the only patrons that evening we were instructed to order anything we wanted and how we wanted it We shared a gnocchi platter to start Half was spinach with a pomodorotype sauce and the other half was cheese with a gorgonzola cream sauce Sweet Jesus If I could go back and have this dish as my entre I would Unfortunately I choose the tilapia special which sounded better than it tasted The white wine sauce lacked flavor so I squeezed some lemon to give it a muchneeded kick Still the fish was extremely bland even for tilapia and the chopped tomatoes in the sauce were mushy and lacked any taste of acidity that tomatoes usually provide There was also some sort of spice that tasted very strongly of Christmas trees Tis the season and all but pine is best in the form of trees cones or sol  Dessert was better We shared a flourless chocolate cake that was so satisfyingly rich we did not finish it Thats right four girls did not finish a single piece of cake Someone call the Guinness Book I think we have a winner We also shared the gelato in chocolate hazelnut and peanut butter flavors It was so delish I almost excused the piece of hazelnut shell that found its way into my mouth almost  Bottom line I would like to try this restaurant again but I would be pickier about my entre It seems that pasta and gnocchi rule the menu while proteins take a back seat My advice would be to choose wisely and beware the hazelnut shells,1
This place is so awesome The food is great the drinks are great and the place is so tidy and clean even the bathroom is clean Everything on the menu is great Try the Room Service Pad Thai its so good but I wish they used real pad thai noodles instead of clear noodles Also you have to get the Coconut Soup It smells funky but it tastes so good like pho soup,0
Decent sushi and good service but each persons food came out at different times making it a bit awkward for some of us to start eating before others Miso soup was much better than others I have had in the past lots of seaweed and tofu loved it Tuna roll was great shrimp tempura roll was great but the salmon tempura I could have done without,1
I had the vegetarian but added a side of pork haha and bamboo shoots Ive been exploring the ramen noodle scene in NYC and in SF Bay specifically San Mateo where there are FOUR famously top notch ramen houses and Totto is in my top 3 of all time I might have to go again tomorrow,1
Ive been meaning to come here for years and cant believe it took me this long Definitely one of the best restaurants in Brooklyn Outstanding food attentive but casual service and a charming little space Feels like you are in someones living room and the staff and patrons are unpretentious and mellow We lucked out by getting a lastminute reservation on a Friday night and there were even a couple tables open which I was shocked by The owners were very handson and the food just got better and better with the pork chop and the crispy squid as total standouts They call it tapasstyle food meant to be shared and we ordered five dishes between the two of us which was definitely enough food We wouldve been just fine with four plates Goodsized portions for the price point and not a cheap meal but worth every penny Great spot for a special occasion,1
The wait for food on an off hour was ridiculous I waited 30 minutes for two simple crepes one was a grilled cheese The entire staff didnt seem to care or even look busy when 80 of the people seated were waiting 30 minutes for their food,0
While visiting NYC we found Travalo online Reviews and menu looked good We were pleasantly seated albeit at a small table The waiter gave every indication that his interest was elsewhere He missed such basics as asking about our beverage choice After we ordered my wife noticed the specials board to which there had been no mention by our waiter Flagging the waiter my wife requested a change in her order in light of tne now seen specials My dish came before I had finished my antipasti At the same time that my wife was informed that it would be twenty minutes to prepare her dish whole fish My food started to cool and I was forced to eat while my wife sat with nothing There was no apology or general acknowledgment that anything had been amiss We did not feel special or even like the waiter was really there The kicker was after ordering coffee I was delivered an empty milk pitcher With that being said we give the atmosphere an 8 decent ambience simple yet warm The woodfired oven in the back glowing We gave the music a solid 10 we could relate The cuisine we give an nine Flavors were wonderful I had the Grilled Calamari antipasti with the Shrimp and Scallops as my entre Both were very good save the jerky delivery to the table My wife ordered the Branzino with Brazed Fennel Once on the table delicious The pistacio gelato in a chocolate shelll dusted with pistacio crumbs is a must Our experience was mixed and qualified due to the inattentive and lackluster service I would still return but would have more realistic expectations,1
Such a great place for late night eats I love the roast duck and soy sauce chicken here yummy the food is good and the service is quick things to try wonton soup salt and pepper squid beef chow fun steamed chinese broccoli with oyster sauce roast duck soy sauce chicken young chow fried rice sauteed chive flowers in garlic sauce thousand year egg with pork congee,1
LOL Ive had the same food on long united airlines flights before and that was better The chicken and shrimp tasted like pure rubber,1
Sept 2012 Context looking for lunch in Rutherford on a saturday at 3pm and reviews said good things about this place Atmosphere this is a very small place and warm It has maybe five tables for four They are cooking right on the other side of the counter so if its hot sit far away from the counter There are windows but the tables arent near them simple room with simple paper napkins and basic cheap tableware Service very friendly and welcoming the minute we walked in Looked like mom is the server dad the cook and son is sitting in the back doing homework Several tables were busy while we were there Water was brought quickly and our order was quickly taken We got our food probably ten minutes after our arrival Food the menu emphasizes to main Greek entrees the gyro and souvlaki both chicken and beef But the menu also includes Greek fast food falafel French fries hummus and some american choices like buffalo wings We stuck with the Greek and ordered the special for two which included a plate of gyro meat two pita breads cut up a big serving of tzazaki a side of potatoes rice or French fries and a large Greek salad The salad is served family style with two kalamata olives cukes feta and tomato the kind you get in the supermarket that is hard and never turns red The greens are fresh the feta good but the salad is drowning in vinegar oil dressing The gyro meat was very tasty and there is lots of it Pits were soft and slightly warm Tzazaki seemed more like sour cream then yogurt but no matter it is tasty with a bit of mint chopped up in it The surprise was the lemon potatoes which is at least two full potatos sliced into three pieces each then slowly cooked in a lemon herb oil Texture of the potatoes is firm but not hard and very tasty The French fries at another table looked good and fresh cut,1
Ive had dinner at Tandoori Bite twice now The first time was with a group of about 10 people We had no reservations but they still promptly made room for us We shared meals ie but 5 meals for the 10 of us but there was still plenty of food we were all very full when we left Additionally they gave us each a free desert We wound up feeding 10 people with quite a few appetizers for less than 100 dollars and the service was excellent The second trip was also a large group coming without reservations Again the service and the food was both very good We were celebrating a birthday so again they gave each of us instead of just the birthdaygirl a free desert I highly recommend this restaurant Amazing service they want you to come again decent food and low prices,0
Bought this to try for reducing wind noise while motorcycling  The directions were clear and the product was easy to use  I wound up using a little less than half of the mixed compound for each ear and it worked fine  The thing is they do not reduce wind noise much at all  Had much better results with the shelltype plugs like eargasm  So while the product did harden fully and form usable plugs I cannot recommend for motorcycle riding  Also tried them off the bike and in comparison to standard plugs they do not block as much sound for other activities like mowing the lawn  They are however much more comfortable than standard plugs as they do not exert as much pressure on your ear canal,1
The best pizza on Staten Island hands down Their garlic pie is the best,1
Stopped in for dinner and had a mixed green salad and seared sea scallops over succotash The salad was very fresh with a flavorful vinaigrette and the scallops were excellent I hadnt expected much and was pleasantly surprised The cocktail menu looked great although I didnt have one Service was a tad slow but very friendly,1
One of the best Pizza places in NYthe one hour wait was totally worthshould try the ice cream factory at the end of the street after this stop,0
Got 2 one never worked and the other one just wasnt as happy I was just starting to get into the computer games,0
If one more of you fart in my face or bump my table were going to fight We sat on the far left wall next to one of the bars and this 40 yr old man had some serious gas issues I swear every 10 minutes this man would just fart as if he were in his own home and let it drift right over into my space If that wasnt bad enough we were kind of on the exit route and everyone was quite large or clumsy and every single person bumped into me on their way out I felt like one of those ticker counters at the stadium with the hand held clickers that track the number of people coming into the stadium The food however was quite exceptional and is going to have me return at some point I had heard so many good things about this place from around the corner of my house and work and glad that I took the time to make an appearance Our first dish was calamari and the pieces were gigantic My friend ordered some seafood dish with lobster scallops and shrimp and I had this pork entree with bacon cheese and some other stuff I am never one to describe the food I consumed well but it was all very nice The portions and price were right on We had an appetizer an entree each and two glasses of wine and it came to a little over 100 You definitely get the tourist feel to an extent but at the same time the locals are mixed in It was the only place on restaurant row that was fully packed and had a wait  great sign,1
While strolling along the west side I stumbled across a cute little thai place I would call it sweet and petite like the name connotes simple and good Try the Yen Ta Pho if your a vegetarian most other dishes make me want to try meat but I wont hehe Excellent yuzu lemonaide very yummy to the tummy,1
Oh man this place was good and best of all 24 hours We walked in fairly late at night yet the place was still pretty full The mac and cheese was amazing the fries with truffle oil divine the red velvet cake just ridiculously good No complaints just a touch expensive but good for a nice treat,1
